ID,marital_status,application_mode,application_order,course,daytimeevening_attendancet,previous_qualification,previous_qualification_grade,nacionality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,target
11,1,1,1,9500,1,1,136,1,19,38,9,9,119,True,False,False,True,False,True,18,False,0,8,8,7,13,0,0,8,8,7,13,0,12,3,-1,Graduate
12,1,1,2,9853,1,1,133,1,19,37,4,9,130,True,False,False,True,False,False,19,False,0,6,6,0,0,0,0,6,0,0,0,0,12,3,-1,Dropout
13,1,53,1,9254,1,42,110,1,1,1,4,7,111,True,False,False,True,False,True,21,False,0,6,7,6,10,0,0,6,8,5,11,0,8,1,3,Graduate
14,1,1,1,9085,1,1,149,1,38,37,5,5,137,True,False,False,True,False,True,18,False,0,5,7,4,13,0,0,5,5,5,12,0,10,1,1,Graduate
15,1,1,1,9773,1,1,127,1,19,37,9,3,120,True,False,False,True,False,False,20,False,0,6,6,5,13,0,0,6,7,0,0,0,15,2,-4,Dropout
16,1,18,1,9238,1,1,137,1,19,38,5,8,137,True,False,False,True,False,False,18,False,0,6,10,1,12,0,0,6,14,2,11,0,10,1,1,Enrolled
17,1,17,2,9500,1,1,135,1,19,1,5,4,127,True,False,False,True,False,False,18,False,0,7,8,7,13,0,0,8,8,8,14,0,15,2,-4,Graduate
18,1,1,1,9130,1,1,137,1,3,19,3,5,136,True,False,False,True,False,False,20,False,0,5,8,4,12,1,0,5,8,4,12,2,10,1,1,Graduate
19,1,1,1,9853,1,1,140,1,19,19,7,7,124,True,False,False,True,False,False,18,False,0,7,7,6,11,0,0,7,8,6,13,0,16,0,0,Enrolled
20,1,1,3,171,1,1,122,1,1,1,9,8,120,False,False,False,True,False,True,21,False,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,Graduate
21,1,18,4,9556,1,1,127,1,1,38,4,7,121,True,False,False,True,False,False,20,False,0,7,14,7,11,0,0,8,9,8,11,0,12,3,-1,Enrolled
22,1,1,4,9500,1,1,142,1,19,19,1,1,125,True,False,False,True,False,False,18,False,0,8,12,7,12,0,0,8,12,7,12,0,12,3,-1,Graduate
23,1,1,4,9670,1,1,125,1,1,38,4,7,114,True,False,False,True,False,True,19,False,0,6,8,6,13,0,0,6,7,6,12,0,11,0,2,Graduate
24,1,1,1,9500,1,1,126,1,19,19,3,7,123,False,False,False,True,False,False,19,False,0,7,8,6,13,0,0,8,9,7,14,0,11,0,2,Graduate
25,1,1,1,9238,1,1,151,1,19,38,9,9,157,True,False,True,True,False,True,18,False,0,6,8,5,11,0,0,6,12,4,11,0,7,2,0,Enrolled
26,1,17,2,9238,1,1,115,1,19,38,7,8,116,True,False,False,True,False,False,21,False,0,6,9,6,11,0,0,6,9,6,13,0,16,0,0,Graduate
27,1,1,1,9085,1,1,138,1,19,19,3,3,131,True,False,False,True,False,False,18,False,0,5,9,5,12,2,0,5,7,4,13,0,9,0,-3,Enrolled
28,1,1,1,9147,1,1,135,1,19,1,9,9,122,True,False,False,True,False,False,20,False,0,5,6,5,12,0,0,5,6,5,12,0,16,0,0,Graduate
29,1,17,2,9500,1,1,127,1,3,3,1,10,118,True,False,False,True,True,False,19,False,0,7,9,6,12,0,0,7,7,6,13,0,16,0,0,Enrolled
30,1,44,1,9003,1,39,150,1,4,5,4,2,150,False,False,False,True,True,False,21,False,0,6,15,5,11,0,0,6,17,5,10,0,16,0,0,Enrolled
31,1,51,1,9070,1,1,125,1,42,3,125,124,130,True,False,False,True,True,False,20,False,2,6,7,6,12,0,0,6,9,4,13,0,8,1,3,Graduate
32,1,1,1,9147,1,1,143,1,1,1,4,6,138,False,False,False,False,True,False,18,False,0,5,9,3,11,0,0,5,8,2,13,0,8,1,3,Enrolled
33,1,18,1,8014,0,1,138,1,19,1,9,5,134,True,False,False,True,False,False,19,False,0,6,6,6,12,0,0,6,8,6,14,0,12,0,1,Graduate
34,1,1,1,9991,0,1,130,1,2,37,3,9,131,False,False,False,True,True,False,34,False,0,5,6,5,12,0,0,5,9,5,13,0,13,0,0,Graduate
35,1,39,1,33,1,1,130,1,38,37,9,6,102,False,False,True,False,True,False,37,False,0,7,7,0,0,0,0,7,7,1,10,0,8,1,3,Dropout
36,1,39,1,9119,1,10,133,1,34,37,0,0,128,True,False,False,True,True,False,43,False,0,5,0,0,0,0,0,5,0,0,0,0,7,2,0,Dropout
37,1,43,1,9147,1,1,140,1,37,37,6,6,122,False,False,False,True,False,False,55,False,0,5,10,1,10,0,0,5,8,2,12,2,16,0,0,Dropout
38,4,39,1,9991,0,1,120,1,19,19,9,3,113,True,False,False,True,False,False,39,False,0,5,8,5,11,0,0,5,5,5,11,0,7,2,0,Graduate
39,1,44,1,9130,1,39,120,6,4,4,3,6,120,False,False,True,False,False,False,20,True,2,6,13,3,11,0,1,6,11,3,12,0,12,0,1,Dropout
40,1,1,5,9773,1,1,126,1,3,3,2,2,121,False,False,True,True,False,False,18,False,0,6,6,4,12,0,0,5,5,0,0,0,12,3,-1,Dropout
41,1,1,2,9147,1,1,133,1,3,19,2,7,120,True,False,False,True,False,False,22,False,0,5,5,5,14,0,0,5,5,5,15,0,8,1,3,Graduate
42,1,1,6,9500,1,1,103,1,1,3,2,2,100,True,True,False,True,False,False,22,False,0,7,9,5,13,0,0,8,9,7,14,0,11,0,2,Graduate
43,1,17,1,9773,1,1,120,1,1,38,5,5,121,False,False,False,False,False,False,20,False,0,6,7,4,13,0,0,6,7,5,13,0,12,0,1,Dropout
44,1,39,1,9991,0,1,133,1,37,37,9,9,109,False,False,False,True,False,False,29,False,0,5,0,0,0,0,0,5,0,0,0,0,16,0,0,Dropout
45,1,17,1,9991,0,1,154,1,38,38,4,5,134,False,False,False,True,False,False,24,False,0,5,9,2,11,0,0,5,11,3,14,1,7,2,0,Enrolled
46,1,17,2,9238,1,1,130,1,19,19,9,9,127,True,False,False,True,False,False,18,False,0,6,6,6,11,0,0,6,8,5,13,0,11,0,2,Graduate
47,1,17,6,9500,1,1,132,1,37,19,7,7,132,True,False,False,True,False,True,22,False,0,7,8,6,13,0,0,8,9,7,13,0,11,0,2,Graduate
48,1,44,1,8014,0,39,130,1,1,19,9,9,133,False,False,False,True,False,True,21,False,3,6,6,6,11,0,2,6,7,6,13,0,12,0,1,Graduate
49,1,1,1,9238,1,1,139,1,37,38,9,9,126,False,False,False,True,False,True,19,False,0,6,7,5,12,0,0,6,7,6,12,0,12,3,-1,Graduate
50,1,39,1,9254,1,1,130,1,19,38,9,7,113,False,False,False,True,False,True,24,False,0,6,6,6,13,0,0,6,6,6,14,0,12,0,1,Graduate
51,1,1,1,9500,1,1,139,1,37,38,6,6,121,True,False,False,True,False,True,19,False,0,8,10,6,11,0,0,8,10,6,11,0,9,0,-3,Enrolled
52,1,1,1,9773,1,1,127,1,1,19,7,7,121,True,False,False,True,False,True,20,False,0,6,11,4,14,0,0,6,12,3,11,0,9,0,-3,Enrolled
53,1,1,3,9130,1,1,167,1,37,37,90,90,159,False,False,False,True,False,False,19,False,0,5,7,5,14,0,0,5,5,5,15,0,7,2,0,Graduate
54,1,39,1,9991,0,1,130,1,38,38,9,9,120,False,False,False,True,False,False,27,False,0,5,12,5,10,0,0,5,10,5,11,0,9,0,-3,Dropout
55,1,1,1,9500,1,1,130,1,1,19,5,5,129,True,False,False,True,False,False,18,False,0,7,9,7,13,0,0,8,10,8,13,0,15,2,-4,Graduate
56,2,7,1,9254,1,3,130,1,1,3,4,3,130,False,False,False,True,False,False,39,False,0,6,10,0,0,0,0,6,6,0,0,0,12,0,1,Dropout
57,1,39,1,9130,1,40,129,1,3,3,2,2,155,True,False,False,True,False,False,27,False,0,6,9,5,13,0,5,11,13,10,12,0,12,0,1,Dropout
58,1,17,1,9500,1,1,141,1,38,38,7,10,139,True,False,False,True,False,False,18,False,0,8,8,8,14,0,0,8,8,8,14,0,9,0,-3,Graduate
59,1,1,3,171,1,1,125,1,38,37,4,9,115,True,False,False,True,False,False,18,False,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,Enrolled
60,1,1,2,9500,1,1,125,1,19,19,9,9,114,False,False,False,True,False,False,18,False,0,7,8,6,13,0,0,8,12,7,12,0,16,0,0,Graduate
61,1,44,1,9238,1,39,130,1,19,1,9,9,131,False,False,False,True,False,True,21,False,3,6,7,6,12,0,2,6,7,6,12,0,13,0,0,Graduate
62,1,17,3,171,1,1,133,1,1,37,4,7,126,True,False,False,True,True,True,19,False,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Enrolled
63,1,17,1,9070,1,1,127,1,1,1,3,4,130,True,False,False,True,True,False,19,False,0,6,6,5,11,0,0,6,8,1,10,0,10,1,1,Enrolled
64,1,43,1,9070,1,1,116,1,1,1,3,3,120,False,False,False,True,True,False,24,False,0,6,6,0,0,0,0,6,6,0,0,0,12,3,-1,Enrolled
65,4,42,1,9500,1,19,133,1,1,1,5,5,126,True,False,False,True,True,False,29,False,2,7,10,5,11,0,1,8,10,5,11,0,13,0,0,Dropout
66,1,1,3,171,1,1,139,1,19,19,5,3,128,True,False,False,True,True,True,19,False,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Graduate
67,1,44,1,9003,1,39,130,1,19,37,9,9,130,True,False,False,True,True,False,23,False,0,6,8,6,12,0,0,6,7,6,12,0,8,1,3,Graduate
68,1,1,3,9147,1,1,125,1,1,38,7,7,120,False,False,True,True,True,False,19,False,0,5,8,5,11,0,0,5,10,4,10,3,16,0,0,Dropout
69,1,39,1,9254,1,1,160,1,19,37,7,10,100,False,False,False,True,True,False,26,False,0,6,7,6,12,0,0,6,8,5,10,0,12,3,-1,Enrolled
70,1,17,1,9147,1,1,148,1,38,37,5,5,134,False,False,False,True,True,False,18,False,0,5,9,0,0,0,0,5,5,0,0,0,7,2,0,Enrolled
71,1,17,1,9500,1,1,150,1,37,19,8,4,130,False,False,False,True,True,False,24,False,0,7,8,7,11,0,0,8,8,8,13,0,13,0,0,Graduate
72,1,1,1,171,1,1,141,1,19,19,5,10,135,True,False,False,True,True,False,19,False,0,0,0,0,0,0,0,0,0,0,0,0,15,2,-4,Dropout
73,1,17,4,9254,1,1,118,1,38,37,5,7,111,True,False,False,True,True,False,18,False,0,6,12,3,11,0,0,6,12,1,12,0,12,0,1,Dropout
74,1,1,2,9773,1,1,142,1,38,38,9,9,132,True,False,False,True,True,False,18,False,0,6,8,6,12,0,0,6,11,3,12,0,10,1,1,Graduate
75,1,17,3,9147,1,1,120,1,19,19,4,7,115,True,False,True,True,True,False,18,False,0,5,8,3,10,0,0,5,11,3,10,0,10,1,1,Dropout
76,1,18,4,9254,1,1,106,1,19,37,7,7,106,True,False,False,True,True,True,21,False,0,6,8,4,10,0,0,6,11,1,11,0,9,0,-3,Dropout
77,1,17,4,9773,1,1,121,1,1,19,9,8,120,True,False,True,True,True,True,19,False,0,6,6,6,13,0,0,6,6,6,13,0,8,1,3,Graduate
78,1,17,4,9500,1,1,150,1,38,37,9,9,130,False,False,False,True,True,True,22,False,0,7,7,7,14,0,0,8,9,8,15,0,16,0,0,Graduate
79,2,39,1,8014,0,1,120,1,37,37,9,6,117,False,False,False,True,True,False,33,False,0,6,8,6,12,0,0,6,6,6,11,0,10,1,1,Graduate
80,1,1,6,9853,1,1,114,1,19,19,9,9,110,True,False,False,True,True,False,20,False,0,6,8,5,12,0,0,6,7,5,12,0,10,1,1,Dropout
81,1,39,1,9991,0,2,140,1,3,3,2,2,155,True,False,False,True,True,False,35,False,0,1,1,0,0,1,0,5,0,0,0,0,10,1,1,Dropout
82,1,39,1,9003,1,4,160,1,3,3,4,2,180,False,False,True,True,True,False,24,False,6,12,17,6,12,0,7,12,14,10,13,0,12,0,1,Dropout
83,1,17,1,9254,1,1,120,1,19,19,4,4,125,False,False,False,True,True,False,18,False,0,5,6,5,12,0,0,5,8,3,11,0,12,3,-1,Enrolled
84,2,39,1,8014,0,1,130,1,37,37,9,6,110,True,False,False,True,False,False,33,False,0,6,7,6,11,0,0,6,11,5,11,0,9,0,-3,Graduate
85,1,42,1,9500,1,1,160,1,37,38,9,7,161,True,False,False,True,False,True,22,False,0,8,8,7,13,0,0,8,8,7,13,0,10,1,1,Graduate
86,1,39,1,9670,1,1,120,1,1,19,4,5,100,False,False,False,True,False,True,25,False,0,5,7,4,10,0,0,5,7,5,11,0,9,0,-3,Graduate
87,1,17,1,9070,1,1,124,1,19,38,4,0,117,True,False,False,True,True,False,20,False,0,6,9,6,10,1,0,6,6,5,11,0,7,2,0,Graduate
88,1,1,6,9147,1,1,143,1,38,37,9,9,128,True,False,False,True,True,False,23,False,0,5,6,4,14,0,0,5,5,5,13,0,11,0,2,Enrolled
89,1,43,2,9119,1,1,115,1,38,19,9,6,112,True,False,True,True,True,False,18,False,0,5,9,2,10,0,0,5,9,0,0,0,15,2,-4,Enrolled
90,1,39,1,9500,1,1,133,1,1,1,4,10,100,False,False,False,True,True,False,24,False,0,7,18,0,0,0,0,7,7,0,0,0,13,0,0,Dropout
91,1,17,2,9773,1,1,133,41,19,1,9,9,105,True,False,False,False,False,False,21,True,0,6,6,6,14,0,0,6,6,6,13,0,8,1,3,Graduate
92,1,15,1,9130,1,1,133,41,1,1,4,4,100,False,False,False,True,False,False,26,True,0,6,7,2,12,1,0,6,6,0,0,0,8,1,3,Dropout
93,2,39,1,9853,1,10,133,1,37,34,0,0,115,False,False,False,True,False,False,39,False,0,6,12,3,12,0,0,6,14,0,0,1,7,2,0,Dropout
94,2,39,1,8014,0,1,133,1,37,19,9,9,114,False,False,False,True,False,False,44,False,2,8,11,8,11,0,0,6,7,6,12,0,12,3,-1,Graduate
95,1,15,1,9119,1,1,130,26,38,3,9,2,137,True,False,False,True,True,False,19,True,0,5,9,5,14,0,0,5,11,3,13,0,13,0,0,Enrolled
96,1,1,5,9773,1,1,135,1,37,1,5,5,124,True,False,False,True,False,False,18,False,0,6,6,6,13,0,0,6,6,6,13,0,8,1,3,Graduate
97,1,1,5,9500,1,1,132,1,37,37,7,7,120,True,False,False,True,False,True,18,False,0,7,7,7,13,0,0,8,9,8,14,0,12,0,1,Graduate
98,1,1,1,9085,1,1,135,1,1,2,9,1,134,True,False,False,True,False,False,19,False,0,5,7,5,14,2,0,5,7,5,13,0,12,3,-1,Enrolled
99,1,1,4,9500,1,1,115,1,3,3,2,2,111,True,False,True,False,False,False,19,False,0,7,10,4,11,0,0,7,7,0,0,0,13,0,0,Dropout
100,1,53,1,9085,1,42,130,1,38,38,9,9,128,False,False,False,True,False,False,21,False,7,10,12,8,12,0,4,9,14,5,13,0,8,1,3,Dropout
101,1,1,4,171,1,1,133,1,1,1,9,10,110,True,False,False,True,False,False,20,False,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Graduate
102,2,39,1,8014,0,1,130,1,37,37,6,5,113,True,False,False,True,False,False,36,False,0,6,0,0,0,0,0,6,0,0,0,0,9,0,-3,Dropout
103,4,39,1,9003,1,12,133,1,37,37,9,6,160,False,False,False,True,False,False,43,False,13,18,19,18,14,0,10,13,14,13,14,1,15,2,-4,Graduate
104,1,18,1,9853,1,1,123,1,19,19,9,7,117,True,False,False,True,False,False,19,False,0,6,0,0,0,0,0,6,0,0,0,0,11,0,2,Dropout
105,1,51,1,9070,1,1,130,1,3,1,2,8,122,False,False,True,True,False,False,20,False,4,10,12,10,13,0,5,11,11,11,12,0,11,0,2,Graduate
106,1,1,2,9238,1,1,122,1,37,38,4,7,118,True,False,False,True,False,False,19,False,0,6,0,0,0,0,0,6,0,0,0,0,16,0,0,Dropout
107,1,1,1,9085,1,1,113,1,1,1,4,4,106,True,False,False,True,False,False,20,False,0,6,15,4,14,0,0,6,17,4,13,0,15,2,-4,Dropout
108,1,1,5,9500,1,1,111,1,3,4,4,3,108,True,False,False,True,False,False,20,False,2,7,9,6,13,0,0,7,10,5,12,0,12,0,1,Dropout
109,1,17,2,9853,1,1,133,1,19,1,9,3,107,True,False,False,True,False,False,20,False,0,7,12,6,11,0,0,7,10,3,13,0,16,0,0,Enrolled
110,1,1,1,9238,1,1,142,1,37,37,6,7,136,True,False,False,True,False,False,18,False,0,6,8,6,13,0,0,6,6,6,15,0,13,0,0,Graduate
111,1,17,2,9147,1,1,123,1,1,38,4,7,115,True,False,False,True,False,True,18,False,0,5,9,3,13,0,0,5,11,3,11,0,8,1,3,Enrolled
112,1,1,1,9085,1,1,131,1,19,19,9,9,139,True,False,False,True,False,False,19,False,0,5,6,5,13,0,0,5,5,5,12,0,10,1,1,Graduate
113,1,1,3,9773,1,1,158,1,1,38,4,7,157,True,False,False,True,False,False,18,False,0,6,6,6,12,0,0,6,7,6,12,0,10,1,1,Graduate
114,1,17,2,9500,1,1,122,1,37,37,9,9,131,True,False,False,True,False,False,18,False,0,7,7,6,12,1,0,7,7,6,12,1,7,2,0,Dropout
115,1,43,1,9500,1,1,130,1,38,38,9,5,100,False,False,False,True,False,False,20,False,0,7,11,6,11,0,0,7,7,7,13,0,13,0,0,Enrolled
116,1,17,1,9238,1,1,154,1,19,37,9,7,140,True,False,False,True,False,True,20,False,0,6,13,2,10,0,0,6,12,4,10,0,7,2,0,Enrolled
117,1,17,1,9147,1,1,120,1,19,19,3,3,113,False,False,False,True,False,False,20,False,0,5,11,3,10,0,0,5,10,3,10,0,12,0,1,Enrolled
118,1,1,2,9085,1,1,140,1,37,38,9,7,137,False,False,False,True,False,False,18,False,0,5,12,5,13,2,0,5,6,5,11,0,9,0,-3,Graduate
119,1,1,1,9147,1,1,127,1,2,19,4,5,121,False,False,False,True,False,False,18,False,0,5,5,5,12,0,0,5,5,5,14,0,11,0,2,Graduate
120,1,17,1,9254,1,1,133,1,1,1,4,5,131,True,False,False,True,False,False,21,False,0,6,12,3,11,0,0,6,12,2,11,0,9,0,-3,Dropout
121,1,1,2,9147,1,1,120,1,19,19,9,7,118,True,False,False,True,False,False,19,False,0,5,8,5,10,0,0,5,9,4,11,2,16,0,0,Graduate
122,1,1,1,171,1,1,137,1,3,19,2,9,122,False,False,False,True,False,False,19,False,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Dropout
123,1,1,1,9670,1,1,131,1,38,38,9,9,127,False,False,False,True,False,True,19,False,0,5,5,5,12,0,0,5,5,5,14,0,9,0,-3,Graduate
124,1,1,1,9085,1,1,130,1,19,38,4,7,121,True,False,False,True,False,False,19,False,0,6,15,6,14,0,0,6,13,6,12,0,15,2,-4,Graduate
125,1,17,6,9556,1,1,122,1,1,1,4,5,117,True,False,False,True,False,False,19,False,0,7,12,5,12,0,0,7,0,0,0,0,13,0,0,Dropout
126,1,44,1,9085,1,39,160,1,37,37,9,9,160,True,False,False,True,False,False,20,False,1,6,7,6,14,0,1,6,17,5,13,0,12,0,1,Graduate
127,1,1,1,9853,1,1,146,1,19,38,9,3,145,True,False,False,True,False,True,18,False,0,6,8,5,12,0,0,6,7,5,13,0,9,0,-3,Enrolled
128,1,17,3,9238,1,1,131,1,1,39,5,3,122,True,False,False,True,False,False,18,False,0,6,7,6,13,0,0,6,6,6,13,0,12,0,1,Graduate
129,1,17,6,9500,1,1,132,1,1,37,8,9,128,True,False,False,True,False,False,19,False,0,7,7,7,13,0,0,8,9,8,15,0,12,0,1,Graduate
130,1,1,3,9500,1,1,138,1,19,19,5,8,124,True,False,False,True,False,True,18,False,0,7,9,7,13,0,0,8,9,7,13,0,13,0,0,Dropout
131,1,17,2,9070,1,1,130,1,37,37,9,9,123,True,False,False,True,False,False,18,False,0,6,6,6,12,0,0,6,6,6,13,0,7,2,0,Graduate
132,1,1,4,9147,1,1,126,1,1,19,4,8,120,True,False,False,True,False,False,19,False,0,5,7,5,12,0,0,5,5,5,14,0,8,1,3,Graduate
133,1,17,6,9500,1,1,148,1,1,19,3,3,131,True,False,False,True,False,False,19,False,0,7,8,5,14,0,0,7,7,0,0,0,13,0,0,Dropout
134,1,43,1,9238,1,1,130,1,38,37,9,7,133,False,False,False,True,False,False,20,False,5,9,15,9,11,0,2,7,8,7,11,0,7,2,0,Graduate
135,1,1,1,9670,1,1,117,1,1,38,3,9,109,False,False,True,False,False,True,19,False,0,6,7,5,12,0,0,6,9,4,12,0,12,0,1,Dropout
136,1,17,1,9670,1,1,120,1,19,19,5,5,113,True,False,False,True,False,False,20,False,0,5,7,4,12,0,0,5,5,4,11,0,7,2,0,Graduate
137,1,1,1,9773,1,1,153,1,1,1,141,175,157,False,False,True,True,False,True,18,False,0,6,6,6,14,0,0,6,6,6,14,0,8,1,3,Graduate
138,1,1,2,9500,1,1,117,1,19,1,4,7,112,False,False,False,True,False,True,20,False,0,7,9,5,13,0,0,8,9,7,12,0,11,0,2,Enrolled
139,1,18,1,9500,1,1,178,1,19,1,4,8,174,False,False,False,True,False,False,18,False,0,7,8,7,17,0,0,8,8,8,17,0,13,0,0,Graduate
140,1,1,5,9500,1,1,129,1,37,37,9,9,128,True,False,False,True,False,False,19,False,0,7,7,6,12,0,0,7,7,6,12,0,7,2,0,Graduate
141,1,1,6,9773,1,1,116,1,19,1,4,4,110,True,False,False,True,False,True,19,False,0,6,8,6,12,0,0,6,10,5,12,0,12,0,1,Graduate
142,1,51,1,9147,1,1,99,1,3,1,3,3,99,True,False,True,False,False,False,22,False,0,5,8,0,0,0,0,5,7,0,0,0,8,1,3,Enrolled
143,1,1,3,9238,1,1,135,1,1,12,9,10,121,True,False,False,True,False,True,19,False,0,6,7,6,11,0,0,6,6,6,11,0,12,0,1,Graduate
144,1,1,3,9500,1,1,141,1,19,19,9,7,131,True,False,False,True,False,True,19,False,0,7,10,7,13,0,0,8,11,8,12,0,15,2,-4,Graduate
145,1,17,5,9853,1,1,132,1,37,38,5,6,119,True,False,False,True,False,True,19,False,0,6,10,5,12,0,0,6,9,5,10,0,9,0,-3,Graduate
146,1,1,4,9254,1,1,132,1,12,19,9,9,124,True,False,False,True,False,False,19,False,0,5,10,0,0,0,0,5,10,0,0,0,7,2,0,Dropout
147,1,17,1,9254,1,1,113,1,1,37,9,10,117,True,False,False,True,False,False,20,False,0,6,8,5,11,0,0,6,12,3,11,0,7,2,0,Dropout
148,1,1,1,9147,1,1,134,1,3,19,2,10,128,False,False,False,True,False,False,18,False,0,5,10,5,13,0,0,5,9,5,14,0,13,0,0,Graduate
149,1,1,1,9500,1,1,136,1,1,19,9,9,131,False,False,False,True,False,True,20,False,0,7,8,6,13,0,0,8,9,7,14,0,11,0,2,Graduate
150,1,1,1,171,1,1,136,1,3,37,2,8,121,True,False,False,True,False,False,18,False,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-3,Enrolled
151,1,1,1,9085,1,1,129,1,1,38,4,7,123,False,False,False,True,False,False,19,False,0,5,6,5,12,0,0,5,6,5,13,0,7,2,0,Graduate
152,1,17,1,9853,1,1,138,1,38,38,7,6,124,True,False,False,True,False,False,18,False,0,6,11,3,12,0,0,6,10,5,10,0,9,0,-3,Enrolled
153,1,1,1,9853,1,1,137,1,37,37,9,9,132,True,False,False,True,False,False,18,False,0,6,7,6,13,0,0,6,8,5,11,0,7,2,0,Graduate
154,1,43,1,9853,1,1,115,1,3,37,2,5,108,True,False,False,True,False,False,21,False,0,6,10,3,12,0,0,6,12,3,10,0,9,0,-3,Dropout
155,1,1,1,9853,1,1,129,1,38,37,6,6,138,False,False,False,True,False,False,19,False,0,6,8,6,12,0,0,6,10,4,11,0,7,2,0,Dropout
156,1,1,1,9147,1,1,131,1,38,38,9,9,126,False,False,False,True,False,True,18,False,0,5,5,5,10,0,0,5,5,5,11,0,12,0,1,Graduate
157,1,17,2,9238,1,1,133,1,1,37,7,9,127,True,False,False,True,False,True,18,False,0,6,8,6,12,0,0,6,7,6,11,0,12,3,-1,Graduate
158,1,1,3,9238,1,1,125,1,19,1,9,10,123,True,False,False,True,False,False,20,False,0,6,10,4,11,0,0,6,9,6,11,0,9,0,-3,Graduate
159,1,39,1,8014,0,1,120,1,1,19,6,8,122,False,False,False,True,False,True,24,False,0,6,11,5,11,0,0,6,9,5,12,0,11,0,2,Graduate
160,1,1,1,9670,1,1,128,1,19,1,4,1,118,False,False,False,True,False,False,19,False,0,6,6,6,13,0,0,6,9,6,13,0,10,1,1,Dropout
161,1,1,1,9500,1,1,127,1,19,37,9,7,123,True,False,False,True,False,True,18,False,0,7,9,7,12,0,0,8,12,7,12,0,15,2,-4,Graduate
162,1,1,2,9500,1,1,134,1,19,19,9,9,125,True,False,False,True,False,False,18,False,0,7,8,7,14,0,0,8,8,8,15,0,15,2,-4,Graduate
163,1,17,5,9853,1,1,132,1,12,12,4,4,123,True,False,False,True,False,False,21,False,0,6,13,4,11,0,0,6,10,3,11,0,10,1,1,Dropout
164,1,17,2,9670,1,1,124,1,1,19,5,4,124,False,False,False,True,False,False,19,False,0,5,5,5,14,0,0,5,5,5,14,0,7,2,0,Graduate
