Marital status,Application mode,Application order,Course,Daytime/evening attendance\t,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,True,False,False,True,False,False,18,False,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,7.0,5.0,14.2,0.0,13.9,-0.3,0.79,Graduate
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,True,False,False,True,False,True,18,False,0.0,8.0,8.0,7.0,13.214285714285714,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,12.7,3.7,-1.7,Graduate
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,True,False,False,True,False,False,19,False,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,True,False,False,True,False,True,21,False,0.0,6.0,7.0,6.0,10.571428571428571,0.0,0.0,6.0,8.0,5.0,11.0,0.0,8.9,1.4,3.51,Graduate
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,True,False,False,True,False,True,18,False,0.0,5.0,7.0,4.0,13.25,0.0,0.0,5.0,5.0,5.0,12.0,0.0,10.8,1.4,1.74,Graduate
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,True,False,False,True,False,False,20,False,0.0,6.0,6.0,5.0,13.2,0.0,0.0,6.0,7.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,True,False,False,True,False,False,18,False,0.0,6.0,10.0,1.0,12.0,0.0,0.0,6.0,14.0,2.0,11.0,0.0,10.8,1.4,1.74,Enrolled
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,True,False,False,True,False,False,18,False,0.0,7.0,8.0,7.0,13.30625,0.0,0.0,8.0,8.0,8.0,14.545,0.0,15.5,2.8,-4.06,Graduate
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,True,False,False,True,False,False,20,False,0.0,5.0,8.0,4.0,12.5,1.0,0.0,5.0,8.0,4.0,12.25,2.0,10.8,1.4,1.74,Graduate
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,True,False,False,True,False,False,18,False,0.0,7.0,7.0,6.0,11.666666666666666,0.0,0.0,7.0,8.0,6.0,13.5,0.0,16.2,0.3,-0.92,Enrolled
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,False,False,False,True,False,True,21,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Graduate
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,True,False,False,True,False,False,20,False,0.0,7.0,14.0,7.0,11.4375,0.0,0.0,8.0,9.0,8.0,11.425,0.0,12.7,3.7,-1.7,Enrolled
1,1,4,9500,1,1,142.0,1,19,19,1,1,125.5,True,False,False,True,False,False,18,False,0.0,8.0,12.0,7.0,12.857142857142858,0.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,12.7,3.7,-1.7,Graduate
1,1,4,9670,1,1,125.0,1,1,38,4,7,114.9,True,False,False,True,False,True,19,False,0.0,6.0,8.0,6.0,13.375,0.0,0.0,6.0,7.0,6.0,12.285714285714286,0.0,11.1,0.6,2.02,Graduate
1,1,1,9500,1,1,126.0,1,19,19,3,7,123.9,False,False,False,True,False,False,19,False,0.0,7.0,8.0,6.0,13.296666666666669,0.0,0.0,8.0,9.0,7.0,14.114285714285714,0.0,11.1,0.6,2.02,Graduate
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,True,False,True,True,False,True,18,False,0.0,6.0,8.0,5.0,11.6,0.0,0.0,6.0,12.0,4.0,11.0,0.0,7.6,2.6,0.32,Enrolled
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,True,False,False,True,False,False,21,False,0.0,6.0,9.0,6.0,11.375,0.0,0.0,6.0,9.0,6.0,13.285714285714286,0.0,16.2,0.3,-0.92,Graduate
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,True,False,False,True,False,False,18,False,0.0,5.0,9.0,5.0,12.666666666666666,2.0,0.0,5.0,7.0,4.0,13.0,0.0,9.4,-0.8,-3.12,Enrolled
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,True,False,False,True,False,False,20,False,0.0,5.0,6.0,5.0,12.0,0.0,0.0,5.0,6.0,5.0,12.333333333333334,0.0,16.2,0.3,-0.92,Graduate
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,True,False,False,True,True,False,19,False,0.0,7.0,9.0,6.0,12.933333333333332,0.0,0.0,7.0,7.0,6.0,13.716666666666669,0.0,16.2,0.3,-0.92,Enrolled
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,False,False,False,True,True,False,21,False,0.0,6.0,15.0,5.0,11.857142857142858,0.0,0.0,6.0,17.0,5.0,10.571428571428571,0.0,16.2,0.3,-0.92,Enrolled
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,True,False,False,True,True,False,20,False,2.0,6.0,7.0,6.0,12.833333333333334,0.0,0.0,6.0,9.0,4.0,13.4,0.0,8.9,1.4,3.51,Graduate
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,False,False,False,False,True,False,18,False,0.0,5.0,9.0,3.0,11.333333333333334,0.0,0.0,5.0,8.0,2.0,13.5,0.0,8.9,1.4,3.51,Enrolled
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,True,False,False,True,False,False,19,False,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,8.0,6.0,14.375,0.0,12.4,0.5,1.79,Graduate
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,False,False,False,True,True,False,34,False,0.0,5.0,6.0,5.0,12.4,0.0,0.0,5.0,9.0,5.0,13.428571428571429,0.0,13.9,-0.3,0.79,Graduate
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,False,False,True,False,True,False,37,False,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,10.0,0.0,8.9,1.4,3.51,Dropout
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,True,False,False,True,True,False,43,False,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,False,False,False,True,False,False,55,False,0.0,5.0,10.0,1.0,10.0,0.0,0.0,5.0,8.0,2.0,12.0,2.0,16.2,0.3,-0.92,Dropout
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,True,False,False,True,False,False,39,False,0.0,5.0,8.0,5.0,11.0,0.0,0.0,5.0,5.0,5.0,11.6,0.0,7.6,2.6,0.32,Graduate
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,False,False,True,False,False,False,20,True,2.0,6.0,13.0,3.0,11.666666666666666,0.0,1.0,6.0,11.0,3.0,12.0,0.0,12.4,0.5,1.79,Dropout
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,False,False,True,True,False,False,18,False,0.0,6.0,6.0,4.0,12.75,0.0,0.0,5.0,5.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,True,False,False,True,False,False,22,False,0.0,5.0,5.0,5.0,14.8,0.0,0.0,5.0,5.0,5.0,15.8,0.0,8.9,1.4,3.51,Graduate
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,True,True,False,True,False,False,22,False,0.0,7.0,9.0,5.0,13.928,0.0,0.0,8.0,9.0,7.0,14.342857142857142,0.0,11.1,0.6,2.02,Graduate
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,False,False,False,False,False,False,20,False,0.0,6.0,7.0,4.0,13.0,0.0,0.0,6.0,7.0,5.0,13.8,0.0,12.4,0.5,1.79,Dropout
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,False,False,False,True,False,False,29,False,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,False,False,False,True,False,False,24,False,0.0,5.0,9.0,2.0,11.5,0.0,0.0,5.0,11.0,3.0,14.333333333333334,1.0,7.6,2.6,0.32,Enrolled
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,True,False,False,True,False,False,18,False,0.0,6.0,6.0,6.0,11.666666666666666,0.0,0.0,6.0,8.0,5.0,13.2,0.0,11.1,0.6,2.02,Graduate
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,True,False,False,True,False,True,22,False,0.0,7.0,8.0,6.0,13.516666666666666,0.0,0.0,8.0,9.0,7.0,13.771428571428572,0.0,11.1,0.6,2.02,Graduate
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,False,False,False,True,False,True,21,False,3.0,6.0,6.0,6.0,11.5,0.0,2.0,6.0,7.0,6.0,13.285714285714286,0.0,12.4,0.5,1.79,Graduate
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,False,False,False,True,False,True,19,False,0.0,6.0,7.0,5.0,12.333333333333334,0.0,0.0,6.0,7.0,6.0,12.833333333333334,0.0,12.7,3.7,-1.7,Graduate
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,False,False,False,True,False,True,24,False,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,12.4,0.5,1.79,Graduate
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,True,False,False,True,False,True,19,False,0.0,8.0,10.0,6.0,11.833333333333334,0.0,0.0,8.0,10.0,6.0,11.833333333333334,0.0,9.4,-0.8,-3.12,Enrolled
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,True,False,False,True,False,True,20,False,0.0,6.0,11.0,4.0,14.0,0.0,0.0,6.0,12.0,3.0,11.0,0.0,9.4,-0.8,-3.12,Enrolled
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,False,False,False,True,False,False,19,False,0.0,5.0,7.0,5.0,14.714285714285714,0.0,0.0,5.0,5.0,5.0,15.8,0.0,7.6,2.6,0.32,Graduate
1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,False,False,False,True,False,False,27,False,0.0,5.0,12.0,5.0,10.6,0.0,0.0,5.0,10.0,5.0,11.0,0.0,9.4,-0.8,-3.12,Dropout
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,True,False,False,True,False,False,18,False,0.0,7.0,9.0,7.0,13.044444444444444,0.0,0.0,8.0,10.0,8.0,13.595,0.0,15.5,2.8,-4.06,Graduate
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,False,False,False,True,False,False,39,False,0.0,6.0,10.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,Dropout
1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,True,False,False,True,False,False,27,False,0.0,6.0,9.0,5.0,13.0,0.0,5.0,11.0,13.0,10.0,12.9,0.0,12.4,0.5,1.79,Dropout
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,True,False,False,True,False,False,18,False,0.0,8.0,8.0,8.0,14.935,0.0,0.0,8.0,8.0,8.0,14.935,0.0,9.4,-0.8,-3.12,Graduate
1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,True,False,False,True,False,False,18,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Enrolled
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,False,False,False,True,False,False,18,False,0.0,7.0,8.0,6.0,13.133333333333333,0.0,0.0,8.0,12.0,7.0,12.221428571428572,0.0,16.2,0.3,-0.92,Graduate
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,False,False,False,True,False,True,21,False,3.0,6.0,7.0,6.0,12.0,0.0,2.0,6.0,7.0,6.0,12.0,0.0,13.9,-0.3,0.79,Graduate
1,17,3,171,1,1,133.0,1,1,37,4,7,126.0,True,False,False,True,True,True,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Enrolled
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,True,False,False,True,True,False,19,False,0.0,6.0,6.0,5.0,11.4,0.0,0.0,6.0,8.0,1.0,10.0,0.0,10.8,1.4,1.74,Enrolled
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,False,False,False,True,True,False,24,False,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.7,3.7,-1.7,Enrolled
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,True,False,False,True,True,False,29,False,2.0,7.0,10.0,5.0,11.9,0.0,1.0,8.0,10.0,5.0,11.0,0.0,13.9,-0.3,0.79,Dropout
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,True,False,False,True,True,True,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Graduate
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,True,False,False,True,True,False,23,False,0.0,6.0,8.0,6.0,12.571428571428571,0.0,0.0,6.0,7.0,6.0,12.428571428571429,0.0,8.9,1.4,3.51,Graduate
1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,False,False,True,True,True,False,19,False,0.0,5.0,8.0,5.0,11.2,0.0,0.0,5.0,10.0,4.0,10.75,3.0,16.2,0.3,-0.92,Dropout
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,False,False,False,True,True,False,26,False,0.0,6.0,7.0,6.0,12.0,0.0,0.0,6.0,8.0,5.0,10.8,0.0,12.7,3.7,-1.7,Enrolled
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,False,False,False,True,True,False,18,False,0.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,Enrolled
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,False,False,False,True,True,False,24,False,0.0,7.0,8.0,7.0,11.975,0.0,0.0,8.0,8.0,8.0,13.75,0.0,13.9,-0.3,0.79,Graduate
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,True,False,False,True,True,False,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,True,False,False,True,True,False,18,False,0.0,6.0,12.0,3.0,11.666666666666666,0.0,0.0,6.0,12.0,1.0,12.0,0.0,12.4,0.5,1.79,Dropout
1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,True,False,False,True,True,False,18,False,0.0,6.0,8.0,6.0,12.333333333333334,0.0,0.0,6.0,11.0,3.0,12.333333333333334,0.0,10.8,1.4,1.74,Graduate
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,True,False,True,True,True,False,18,False,0.0,5.0,8.0,3.0,10.333333333333334,0.0,0.0,5.0,11.0,3.0,10.857142857142858,0.0,10.8,1.4,1.74,Dropout
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,True,False,False,True,True,True,21,False,0.0,6.0,8.0,4.0,10.5,0.0,0.0,6.0,11.0,1.0,11.0,0.0,9.4,-0.8,-3.12,Dropout
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,True,False,True,True,True,True,19,False,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,Graduate
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,False,False,False,True,True,True,22,False,0.0,7.0,7.0,7.0,14.842857142857142,0.0,0.0,8.0,9.0,8.0,15.055555555555555,0.0,16.2,0.3,-0.92,Graduate
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,False,False,False,True,True,False,33,False,0.0,6.0,8.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,10.8,1.4,1.74,Graduate
1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,True,False,False,True,True,False,20,False,0.0,6.0,8.0,5.0,12.2,0.0,0.0,6.0,7.0,5.0,12.2,0.0,10.8,1.4,1.74,Dropout
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,True,False,False,True,True,False,35,False,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,False,False,True,True,True,False,24,False,6.0,12.0,17.0,6.0,12.166666666666666,0.0,7.0,12.0,14.0,10.0,13.3,0.0,12.4,0.5,1.79,Dropout
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,False,False,False,True,True,False,18,False,0.0,5.0,6.0,5.0,12.0,0.0,0.0,5.0,8.0,3.0,11.333333333333334,0.0,12.7,3.7,-1.7,Enrolled
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,True,False,False,True,False,False,33,False,0.0,6.0,7.0,6.0,11.0,0.0,0.0,6.0,11.0,5.0,11.0,0.0,9.4,-0.8,-3.12,Graduate
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,True,False,False,True,False,True,22,False,0.0,8.0,8.0,7.0,13.08,0.0,0.0,8.0,8.0,7.0,13.08,0.0,10.8,1.4,1.74,Graduate
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,False,False,False,True,False,True,25,False,0.0,5.0,7.0,4.0,10.5,0.0,0.0,5.0,7.0,5.0,11.6,0.0,9.4,-0.8,-3.12,Graduate
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,True,False,False,True,True,False,20,False,0.0,6.0,9.0,6.0,10.666666666666666,1.0,0.0,6.0,6.0,5.0,11.2,0.0,7.6,2.6,0.32,Graduate
1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,True,False,False,True,True,False,23,False,0.0,5.0,6.0,4.0,14.0,0.0,0.0,5.0,5.0,5.0,13.8,0.0,11.1,0.6,2.02,Enrolled
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,True,False,True,True,True,False,18,False,0.0,5.0,9.0,2.0,10.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,15.5,2.8,-4.06,Enrolled
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,False,False,False,True,True,False,24,False,0.0,7.0,18.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,13.9,-0.3,0.79,Dropout
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,True,False,False,False,False,False,21,True,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.5,0.0,8.9,1.4,3.51,Graduate
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,False,False,False,True,False,False,26,True,0.0,6.0,7.0,2.0,12.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,8.9,1.4,3.51,Dropout
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,False,False,False,True,False,False,39,False,0.0,6.0,12.0,3.0,12.666666666666666,0.0,0.0,6.0,14.0,0.0,0.0,1.0,7.6,2.6,0.32,Dropout
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,False,False,False,True,False,False,44,False,2.0,8.0,11.0,8.0,11.875,0.0,0.0,6.0,7.0,6.0,12.333333333333334,0.0,12.7,3.7,-1.7,Graduate
1,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,True,False,False,True,True,False,19,True,0.0,5.0,9.0,5.0,14.0,0.0,0.0,5.0,11.0,3.0,13.25,0.0,13.9,-0.3,0.79,Enrolled
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,True,False,False,True,False,False,18,False,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,Graduate
1,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,True,False,False,True,False,True,18,False,0.0,7.0,7.0,7.0,13.75,0.0,0.0,8.0,9.0,8.0,14.47777777777778,0.0,12.4,0.5,1.79,Graduate
1,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,True,False,False,True,False,False,19,False,0.0,5.0,7.0,5.0,14.2,2.0,0.0,5.0,7.0,5.0,13.8,0.0,12.7,3.7,-1.7,Enrolled
1,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,True,False,True,False,False,False,19,False,0.0,7.0,10.0,4.0,11.96,0.0,0.0,7.0,7.0,0.0,0.0,0.0,13.9,-0.3,0.79,Dropout
1,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,False,False,False,True,False,False,21,False,7.0,10.0,12.0,8.0,12.875,0.0,4.0,9.0,14.0,5.0,13.4,0.0,8.9,1.4,3.51,Dropout
1,1,4,171,1,1,133.1,1,1,1,9,10,110.0,True,False,False,True,False,False,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Graduate
2,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,True,False,False,True,False,False,36,False,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,Dropout
4,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,False,False,False,True,False,False,43,False,13.0,18.0,19.0,18.0,14.63157894736842,0.0,10.0,13.0,14.0,13.0,14.23076923076923,1.0,15.5,2.8,-4.06,Graduate
1,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,True,False,False,True,False,False,19,False,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
1,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,False,False,True,True,False,False,20,False,4.0,10.0,12.0,10.0,13.0,0.0,5.0,11.0,11.0,11.0,12.272727272727272,0.0,11.1,0.6,2.02,Graduate
1,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,True,False,False,True,False,False,19,False,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
1,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,True,False,False,True,False,False,20,False,0.0,6.0,15.0,4.0,14.2,0.0,0.0,6.0,17.0,4.0,13.25,0.0,15.5,2.8,-4.06,Dropout
1,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,True,False,False,True,False,False,20,False,2.0,7.0,9.0,6.0,13.266666666666666,0.0,0.0,7.0,10.0,5.0,12.3,0.0,12.4,0.5,1.79,Dropout
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,True,False,False,True,False,False,20,False,0.0,7.0,12.0,6.0,11.666666666666666,0.0,0.0,7.0,10.0,3.0,13.0,0.0,16.2,0.3,-0.92,Enrolled
1,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,True,False,False,True,False,False,18,False,0.0,6.0,8.0,6.0,13.857142857142858,0.0,0.0,6.0,6.0,6.0,15.0,0.0,13.9,-0.3,0.79,Graduate
1,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,True,False,False,True,False,True,18,False,0.0,5.0,9.0,3.0,13.0,0.0,0.0,5.0,11.0,3.0,11.0,0.0,8.9,1.4,3.51,Enrolled
1,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,True,False,False,True,False,False,19,False,0.0,5.0,6.0,5.0,13.4,0.0,0.0,5.0,5.0,5.0,12.8,0.0,10.8,1.4,1.74,Graduate
1,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,True,False,False,True,False,False,18,False,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,7.0,6.0,12.571428571428571,0.0,10.8,1.4,1.74,Graduate
1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,True,False,False,True,False,False,18,False,0.0,7.0,7.0,6.0,12.516666666666666,1.0,0.0,7.0,7.0,6.0,12.516666666666666,1.0,7.6,2.6,0.32,Dropout
